Book,Author,ISBN
The House of Twenty Thousand Books,Sasha Abramsky,978-1590178881
Hindoo Holiday,J.R. Ackerley,978-0940322257
My Dog Tulip,J.R. Ackerley,978-1590174142
My Father and Myself,J.R. Ackerley,978-0940322127
We Think the World of You,J.R. Ackerley,978-1590173954
The Jeffersonian Transformation,Henry Adams,978-1590172155
After the Tall Timber,Renata Adler,978-1590178799
Pitch Dark,Renata Adler,978-1590176146
Speedboat,Renata Adler,978-1590176139
Prometheus Bound,Aeschylus,978-1590178607
Compulsory Games,Robert Aickman,978-1681371894
Yellow Negroes and Other Imaginary Creatures,Yvan Alagbé,978-1681371764
His Only Son,Leopoldo Alas,978-1681370187
Monsieur Proust,Celeste Albaret,978-1590170595
"Charles Bovary, Country Doctor",Jean Amery,978-1681372501
Collected Poems,Kingsley Amis,978-1590178669
Dear Illusion,Kingsley Amis,978-1590178249
Ending Up,Kingsley Amis,978-1590177594
"Girl, 20",Kingsley Amis,978-1590176634
Lucky Jim,Kingsley Amis,978-1590175750
One Fat Englishman,Kingsley Amis,978-1590176627
Take a Girl Like You,Kingsley Amis,978-1590177600
The Alteration,Kingsley Amis,978-1590176177
The Green Man,Kingsley Amis,978-1590176160
The Old Devils,Kingsley Amis,978-1590175767
Samskara,U.R. Ananthamurthy,978-1590179123
The Fierce and Beautiful World,Andrey Platonov,978-0940322332
Omer Pasha Latas,Ivo Andric,978-1681372525
Historiae,Antonella; Stewart Susan; Ceccagnoli Patrizio Anedda,978-1681376967
"Ariane, A Russian Girl",Claude; Abidor Mitchell Anet,978-1681377100
Zone,Guillaume Apollinaire,978-1590179246
Rahel Varnhagen,Hannah Arendt,978-1681375892
The Seven Madmen,Roberto Arlt,978-1590179147
Don't Look At Me Like That,Diana Athill,978-1681376110
Instead of a Letter,Diana Athill,978-1681376134
Blood on the Forge,William Attaway,978-1590171349
W.H. Auden's Book of Light Verse,W.H. Auden,978-1590170892
Dante,Erich Auerbach,978-1590172193
Captains of the City Streets,Esther Holden Averill,978-1590171745
Jenny and the Cat Club,Esther Holden Averill,978-1590170472
Jenny Goes To Sea,Esther Holden Averill,978-1590171554
Jenny's Birthday Book,Esther Holden Averill,978-1590171547
Jenny's Moonlight Adventure,Esther Holden Averill,978-1590171608
The Hotel Cat,Esther Holden Averill,978-1590171592
The School For Cats,Esther Holden Averill,978-1590171738
The Little Grey Men,B B,978-1681373751
Eve's Hollywood,Eve Babitz,978-1590178904
"Slow Days, Fast Company",Eve Babitz,978-1681370088
I Used to Be Charming,Eve; Lambert Molly Babitz,978-1681373799
Bright Unbearable Reality,Anna Badkhen,978-1681377063
Cassandra at the Wedding,Dorothy Baker,978-1590176016
Young Man with a Horn,Dorothy Baker,978-1590175774
The Peregrine,J.A. Baker,978-1590171332
Fighting for Life,S. Josephine Baker,978-1590177068
The Human Comedy,Honore de Balzac,978-1590176641
The Memoirs of Two Young Wives,Honore de Balzac,978-1681371252
The Unknown Masterpiece,Honore de Balzac,978-0940322745
The Lily in the Valley,Honoré de; Bush Peter R. Balzac,978-1681377988
Living Pictures,Polina; Ciepiela Catherine Barskova,978-1681376592
Flowers of Evil,Charles; Baudelaire Charles; Baudelaire Charles; Dillon George; Millay Edna St Vincent Baudelaire,978-1681378282
Piero,Edmond; Madden Matt Baudoin,978-1681372969
Grand Hotel,Vicki Baum,978-1590179673
Almost Completely Baxter,Glen Baxter,978-1590179857
A Favourite of the Gods and A Compass Error,Sybille Bedford,978-1681370569
A Legacy,Sybille Bedford,978-1590178263
A Very Old Man,Sybille Bedford,978-1681375939
A Visit to Don Otavio,Sybille Bedford,978-1590179697
Jigsaw,Sybille Bedford,978-1681371917
Seven Men,Max Beerbohm,978-0940322547
The Prince of Minor Writers,Max Beerbohm,978-1590178287
Fantastic Toys,Monika Beisner,978-1681373119
The Limit,Rosalind; Griffiths Paul Belben,978-1681377520
The Struggle for Iran,Christopher de Bellaigue,978-1590172384
Wish Her Safe At Home,Stephen Benatar,978-1590173350
The Long Ships,Frans G. Bengtsson,978-1590173466
The Storyteller Essays,Walter; Lewis Tess; Titan Samuel; Benjamin Walter Benjamin,978-1681370583
Prison Memoirs of an Anarchist,Alexander Berkman,978-0940322349
Mouchette,Georges Bernanos,978-1590171516
Agony,Mark; Whitehead Colson Beyer,978-1590179819
A Memoir of the Warsaw Uprising,Miron Bialoszewski,978-1590176658
Asleep in the Sun,Adolfo Bioy Casares,978-1590170953
The Invention of Morel,Adolfo Bioy Casares,978-1590170571
"Sheppard Lee, Written by Himself",Robert Montgomery Bird,978-1590172292
Corrigan,Caroline Blackwood,978-1590170069
Great Granny Webster,Caroline Blackwood,978-1590170076
Meet Monster,Ellen; Cook Ann; Blake Quentin Blance,978-1681374284
Peplum,Edward; Johnson Jess Blutch; Gauvin,978-1590179833
Mitchum,Matt; Sudarsky Dean Blutch; Madden,978-1681374444
